post_title,post_content,post_excerpt,post_status,post_type,featured_image,tour_code,tour_featured_tour,tour_duration_days,tour_duration_nights,tour_gallery,tour_type,tour_location,tour_person,tour_linked
Tour Hà Nội 3 Ngày 2 Đêm,"Khám phá thủ đô ngàn năm văn hiến với Hồ Gươm, Văn Miếu, Lăng Bác...",Tour Hà Nội nổi bật nhất,publish,tour,,HN-0325,1,3,2,,Miền Bắc,Hà Nội,Gia đình,Có
Tour Hạ Long 2 Ngày 1 Đêm,Tham quan vịnh Hạ Long – kỳ quan thiên nhiên thế giới với du thuyền cao cấp.,Trải nghiệm du thuyền sang trọng,publish,tour,,HL-0225,1,2,1,,Miền Bắc,Hạ Long,Cặp đôi,Không
Tour Sapa 3N2Đ,"Khám phá núi rừng Tây Bắc, bản Cát Cát, Fansipan Legend.",Khám phá vùng cao Tây Bắc,publish,tour,,SP-0325,0,3,2,,Miền Bắc,Sapa,Gia đình,Có
Tour Đà Nẵng - Hội An 4N3Đ,"Trải nghiệm Cầu Vàng, Bà Nà Hills, phố cổ Hội An lung linh đèn lồng.",Tour miền Trung hot nhất năm,publish,tour,,DN-0425,1,4,3,,Miền Trung,Đà Nẫng - Hội An,Gia đình,Không
Tour Huế - Động Phong Nha 3N2Đ,"Khám phá di sản miền Trung, Đại Nội Huế, sông Hương, động Phong Nha.",Tour khám phá di sản,publish,tour,,HU-0325,0,3,2,,Miền Trung,Huế - Quảng Bình,Gia đình,Có
Tour Nha Trang 3N2Đ,"Tắm biển Nha Trang, Vinpearl Land, Hòn Mun, Hòn Tằm...",Tour biển nổi bật,publish,tour,,NT-0325,1,3,2,,Miền Nam,Nha Trang,Gia đình,Không
Tour Đà Lạt 4N3Đ,"Tham quan Thung lũng Tình Yêu, Vườn hoa Thành phố, Núi Langbiang.",Khí hậu mát mẻ quanh năm,publish,tour,,DL-0425,1,4,3,,Miền Nam,Đà Lạt,Gia đình,Có
Tour Phú Quốc 3N2Đ,"Khám phá đảo ngọc Phú Quốc, VinWonder, Sunset Town.",Tour biển đảo sang trọng,publish,tour,,PQ-0325,1,3,2,,Miền Nam,Phù Quốc,Gia đình,Không
Tour Côn Đảo 2N1Đ,Trải nghiệm biển xanh và di tích lịch sử linh thiêng.,Tour ngắn ngày linh thiêng,publish,tour,,CD-0225,0,2,1,,Miền Nam,Côn Đảo,Gia đình,Không
Tour Quy Nhơn 3N2Đ,"Check-in Eo Gió, Kỳ Co, Ghềnh Ráng, đồi cát Phương Mai.","Biển xanh, cát trắng",publish,tour,,QN-0325,0,3,2,,Miền Trung,Quy Nhơn,Gia đình,Không
Tour Buôn Ma Thuột 3N2Đ,"Khám phá Tây Nguyên, thác Dray Nur, Buôn Đôn, cà phê Ban Mê.",Hành trình đại ngàn,publish,tour,,BMT-0325,0,3,2,,Tây Nguyên,Buôn Ma Thuột,Gia đình,Không
Tour Cần Thơ 2N1Đ,"Du lịch miền sông nước, chợ nổi Cái Răng, vườn trái cây.",Khám phá miền Tây sông nước,publish,tour,,CT-0225,0,2,1,,Miền Tây,Cần Thơ,Gia đình,Không
Tour Châu Đốc - Hà Tiên 3N2Đ,"Tham quan Miếu Bà Chúa Xứ, núi Sam, Hà Tiên Thập Cảnh.",Tour hành hương tâm linh,publish,tour,,CDHT-0325,0,3,2,,Miền Tây,Châu Đốc,Gia đình,Không
Tour Singapore 5N4Đ,"Tham quan Gardens by the Bay, Sentosa, Universal Studios.",Tour quốc tế cao cấp,publish,tour,,SG-0525,1,5,4,,Quốc Tế,Singapore,Bạn trẻ,Không
Tour Thái Lan 4N3Đ,"Bangkok – Pattaya, tham quan chùa Vàng, show Alcazar, đảo San Hô.",Tour Thái giá tốt,publish,tour,,TH-0425,1,4,3,,Quốc Tế,Thái Lan,Bạn trẻ,Không
Tour Malaysia 4N3Đ,"Khám phá Kuala Lumpur, cao nguyên Genting, tháp đôi Petronas.",Tour Đông Nam Á tiết kiệm,publish,tour,,MY-0425,0,4,3,,Quốc Tế,Malaysia,Bạn trẻ,Không
Tour Hàn Quốc 5N4Đ,"Seoul – Nami – Everland, trải nghiệm mặc Hanbok.",Tour mùa xuân ngắm hoa anh đào,publish,tour,,KR-0525,1,5,4,,Quốc Tế,Hàn Quốc,Bạn trẻ,Không
Tour Nhật Bản 6N5Đ,"Tokyo – Kyoto – Osaka, ngắm núi Phú Sĩ, chợ cá Tsukiji.",Tour cao cấp Nhật Bản,publish,tour,,JP-0625,1,6,5,,Quốc Tế,Nhật Bản,Bạn trẻ,Không
Tour Châu Âu 10N9Đ,"Pháp – Thụy Sĩ – Ý, hành trình trời Âu lãng mạn.",Tour cao cấp nhất 2025,publish,tour,,EU-1025,1,10,9,,Quốc Tế,Châu Âu,Bạn trẻ,Không
Tour Mỹ 7N6Đ,Khám phá Los Angeles – San Francisco – Las Vegas.,"Tour Mỹ cao cấp, visa trọn gói",publish,tour,,US-0725,1,7,6,,Quốc Tế,Mỹ,Bạn trẻ,Không
